('7:34\n', 'FIRST QUARTER\n')
('3:24\n', 'THIRD QUARTER\n')
('3:23\n', 'THIRD QUARTER\n')
('3:22\n', 'THIRD QUARTER\n')
('3:21\n', 'THIRD QUARTER\n')
('3:20\n', 'THIRD QUARTER\n')
('3:19\n', 'THIRD QUARTER\n')
('3:18\n', 'THIRD QUARTER\n')
('3:18\n', 'THIRD QUARTER\n')
('8:51\n', 'FOURTH QUARTER\n')
('8:50\n', 'FOURTH QUARTER\n')
('8:49\n', 'FOURTH QUARTER\n')
('8:48\n', 'FOURTH QUARTER\n')
('8:47\n', 'FOURTH QUARTER\n')
('8:46\n', 'FOURTH QUARTER\n')
('8:45\n', 'FOURTH QUARTER\n')
('4:07\n', 'FOURTH QUARTER\n')
('4:06\n', 'FOURTH QUARTER\n')
('4:05\n', 'FOURTH QUARTER\n')
('4.04\n', 'FOURTH QUARTER\n')
('4:03\n', 'FOURTH QUARTER\n')
('4:02\n', 'FOURTH QUARTER\n')
('3:06\n', 'FOURTH QUARTER\n')
('3:05\n', 'FOURTH QUARTER\n')
('3:04\n', 'FOURTH QUARTER\n')
('3:03\n', 'FOURTH QUARTER\n')
('3:02\n', 'FOURTH QUARTER\n')
('3:01\n', 'FOURTH QUARTER\n')
('1:37\n', 'FOURTH QUARTER\n')
('1:36\n', 'FOURTH QUARTER\n')
('1:35\n', 'FOURTH QUARTER\n')
('1:34\n', 'FOURTH QUARTER\n')
('1:33\n', 'FOURTH QUARTER\n')
('1:32\n', 'FOURTH QUARTER\n')
('1:32\n', 'FOURTH QUARTER\n')
('1:32\n', 'FOURTH QUARTER\n')
('1:11\n', 'FOURTH QUARTER\n')
('1:10\n', 'FOURTH QUARTER\n')
('1:09\n', 'FOURTH QUARTER\n')
('1:08\n', 'FOURTH QUARTER\n')
('1:08\n', 'FOURTH QUARTER\n')
('56.1\n', 'FOURTH QUARTER\n')
('55.1\n', 'FOURTH QUARTER\n')
('54.1\n', 'FOURTH QUARTER\n')
('53.1\n', 'FOURTH QUARTER\n')
('52.9\n', 'FOURTH QUARTER\n')
('52.9\n', 'FOURTH QUARTER\n')
('52.9\n', 'FOURTH QUARTER\n')
('52.9\n', 'FOURTH QUARTER\n')
('52.9\n', 'FOURTH QUARTER\n')
('52.9\n', 'FOURTH QUARTER\n')
('4\n', 'CC\n')
('52.9\n', 'FOURTH QUARTER\n')
('52.9\n', 'FOURTH QUARTER\n')
('52.9\n', 'FOURTH QUARTER\n')
('52.9\n', 'FOURTH QUARTER\n')
('11.7\n', 'FOURTH QUARTER\n')
('10.7\n', 'FOURTH QUARTER\n')
('9.7\n', 'FOURTH QUARTER\n')
('8.7\n', 'FOURTH QUARTER\n')
('8.3\n', 'FOURTH QUARTER\n')
('8.3\n', 'FOURTH QUARTER\n')
('1:21\n', 'OVERTIME\n')
('1:20\n', 'OVERTIME\n')
('1:19\n', 'OVERTIME\n')
('1:18\n', 'OVERTIME\n')
('1:17\n', 'OVERTIME\n')
('1:17\n', 'OVERTIME\n')
('8719\n', 'OVERTIME\n')
('42.4\n', 'OVERTIME\n')
('41.5\n', 'OVERTIME\n')
('40.5\n', 'OVERTIME\n')
('39.5\n', 'OVERTIME\n')
('39.0\n', 'OVERTIME\n')
('39.0\n', 'OVERTIME\n')
('39.0\n', 'OVERTIME\n')
('39.0\n', 'OVERTIME\n')
('39.0\n', 'OVERTIME\n')
