time,play,quarter,home_team,away_team,name,assister,stage,game_num,win_difference,games_played,win_percentage,home_score,away_score,score_difference
8:10,shooting foul,1st,CELTICS,76ERS,Patrick Beverley,None,PS,None,1,1,0.0,5,13,8
8:10,makes free throw 1 of 2,1st,CELTICS,76ERS,Al Horford,None,PS,None,1,1,100.0,6,13,7
8:10,makes free throw 2 of 2,1st,CELTICS,76ERS,Al Horford,None,PS,None,1,1,100.0,7,13,6
7:55,misses 27-foot three point pullup jump shot,1st,CELTICS,76ERS,Tobias Harris,None,PS,None,1,1,0.0,7,13,6
7:40,misses driving floating jump shot,1st,CELTICS,76ERS,Derrick White,None,PS,None,1,1,100.0,7,13,6
7:39,defensive rebound,1st,CELTICS,76ERS,Tobias Harris,None,PS,None,1,1,0.0,7,13,6
7:34,blocks Tobias Harris 's 5-foot two point shot,1st,CELTICS,76ERS,Kristaps Porzingis,None,PS,None,1,1,100.0,7,13,6
7:17,makes driving dunk,1st,CELTICS,76ERS,Kristaps Porzingis,Jayson Tatum,PS,None,1,1,100.0,9,13,4
6:59,misses 11-foot two point shot,1st,CELTICS,76ERS,Paul Reed,None,PS,None,1,1,0.0,9,13,4
6:55,defensive rebound,1st,CELTICS,76ERS,Jayson Tatum,None,PS,None,1,1,100.0,9,13,4
6:49,misses driving layup,1st,CELTICS,76ERS,Jaylen Brown,None,PS,None,1,1,100.0,9,13,4
6:47,defensive rebound,1st,CELTICS,76ERS,Paul Reed,None,PS,None,1,1,0.0,9,13,4
6:33,misses 9-foot two point shot,1st,CELTICS,76ERS,Danuel House Jr.,None,PS,None,1,1,0.0,9,13,4
6:32,defensive rebound,1st,CELTICS,76ERS,Kristaps Porzingis,None,PS,None,1,1,100.0,9,13,4
6:14,makes 3-foot alley oop dunk shot,1st,CELTICS,76ERS,Kristaps Porzingis,Derrick White,PS,None,1,1,100.0,11,13,2
5:55,misses 6-foot two point shot,1st,CELTICS,76ERS,Paul Reed,None,PS,None,1,1,0.0,11,13,2
5:53,defensive rebound,1st,CELTICS,76ERS,Jrue Holiday,None,PS,None,1,1,100.0,11,13,2
5:45,misses driving floating jump shot,1st,CELTICS,76ERS,Derrick White,None,PS,None,1,1,100.0,11,13,2
5:43,offensive rebound,1st,CELTICS,76ERS,Jaylen Brown,None,PS,None,1,1,100.0,11,13,2
5:40,misses two point shot,1st,CELTICS,76ERS,Al Horford,None,PS,None,1,1,100.0,11,13,2
5:36,defensive rebound,1st,CELTICS,76ERS,Tyrese Maxey,None,PS,None,1,1,0.0,11,13,2
5:31,misses running pullup jump shot,1st,CELTICS,76ERS,Kelly Oubre Jr.,None,PS,None,1,1,0.0,11,13,2
5:30,defensive rebound,1st,CELTICS,76ERS,Kristaps Porzingis,None,PS,None,1,1,100.0,11,13,2
5:20,blocks Jrue Holiday's two point shot,1st,CELTICS,76ERS,Paul Reed,None,PS,None,1,1,0.0,11,13,2
5:19,defensive rebound,1st,CELTICS,76ERS,Paul Reed,None,PS,None,1,1,0.0,11,13,2
5:09,shooting foul,1st,CELTICS,76ERS,Al Horford,None,PS,None,1,1,100.0,11,13,2
5:09,makes free throw 1 of 2,1st,CELTICS,76ERS,Tyrese Maxey,None,PS,None,1,1,0.0,11,14,3
5:09,makes free throw 2 of 2,1st,CELTICS,76ERS,Tyrese Maxey,None,PS,None,1,1,0.0,11,15,4
4:59,out of bounds lost ball turnover,1st,CELTICS,76ERS,Derrick White,None,PS,None,1,1,100.0,11,15,4
4:39,makes 18-foot pullup jump shot,1st,CELTICS,76ERS,Tyrese Maxey,Mo Bamba,PS,None,1,1,0.0,11,17,6
4:25,makes 2-foot layup,1st,CELTICS,76ERS,Jaylen Brown,Kristaps Porzingis,PS,None,1,1,100.0,13,17,4
4:14,misses 27-foot three point pullup jump shot,1st,CELTICS,76ERS,Tobias Harris,None,PS,None,1,1,0.0,13,17,4
4:12,defensive rebound,1st,CELTICS,76ERS,Jrue Holiday,None,PS,None,1,1,100.0,13,17,4
4:10,misses running pullup jump shot,1st,CELTICS,76ERS,Jrue Holiday,None,PS,None,1,1,100.0,13,17,4
4:10,defensive rebound,1st,CELTICS,76ERS,Kelly Oubre Jr.,None,PS,None,1,1,0.0,13,17,4
3:50,makes driving layup,1st,CELTICS,76ERS,Tobias Harris,None,PS,None,1,1,0.0,13,19,6
3:35,misses 14-foot two point shot,1st,CELTICS,76ERS,Jrue Holiday,None,PS,None,1,1,100.0,13,19,6
3:33,defensive rebound,1st,CELTICS,76ERS,Danuel House Jr.,None,PS,None,1,1,0.0,13,19,6
3:29,shooting foul,1st,CELTICS,76ERS,Jaylen Brown,None,PS,None,1,1,100.0,13,19,6
3:29,makes free throw 1 of 2,1st,CELTICS,76ERS,Tobias Harris,None,PS,None,1,1,0.0,13,20,7
3:29,makes free throw 2 of 2,1st,CELTICS,76ERS,Tobias Harris,None,PS,None,1,1,0.0,13,21,8
3:07,misses 26-foot three point jumper,1st,CELTICS,76ERS,Sam Hauser,None,PS,None,1,1,100.0,13,21,8
3:04,defensive rebound,1st,CELTICS,76ERS,Kelly Oubre Jr.,None,PS,None,1,1,0.0,13,21,8
3:04,bad pass,1st,CELTICS,76ERS,Kelly Oubre Jr.,None,PS,None,1,1,0.0,13,21,8
2:58,misses 24-foot three point jumper,1st,CELTICS,76ERS,Payton Pritchard,None,PS,None,1,1,100.0,13,21,8
2:55,defensive rebound,1st,CELTICS,76ERS,Kelly Oubre Jr.,None,PS,None,1,1,0.0,13,21,8
2:47,misses 26-foot three point jumper,1st,CELTICS,76ERS,Tyrese Maxey,None,PS,None,1,1,0.0,13,21,8
2:45,defensive rebound,1st,CELTICS,76ERS,Jayson Tatum,None,PS,None,1,1,100.0,13,21,8
2:36,misses 28-foot three point jumper,1st,CELTICS,76ERS,Payton Pritchard,None,PS,None,1,1,100.0,13,21,8
2:33,defensive rebound,1st,CELTICS,76ERS,Danuel House Jr.,None,PS,None,1,1,0.0,13,21,8
2:23,misses 27-foot three point jumper,1st,CELTICS,76ERS,Mo Bamba,None,PS,None,1,1,0.0,13,21,8
2:21,defensive rebound,1st,CELTICS,76ERS,Jayson Tatum,None,PS,None,1,1,100.0,13,21,8
2:13,misses 26-foot three point jumper,1st,CELTICS,76ERS,Jayson Tatum,None,PS,None,1,1,100.0,13,21,8
2:10,offensive rebound,1st,CELTICS,76ERS,Sam Hauser,None,PS,None,1,1,100.0,13,21,8
2:08,makes 25-foot three point jumper,1st,CELTICS,76ERS,Jrue Holiday,Sam Hauser,PS,None,1,1,100.0,16,21,5
1:47,misses driving layup,1st,CELTICS,76ERS,Danuel House Jr.,None,PS,None,1,1,0.0,16,21,5
1:44,offensive rebound,1st,CELTICS,76ERS,Kelly Oubre Jr.,None,PS,None,1,1,0.0,16,21,5
1:42,makes 9-foot two point shot,1st,CELTICS,76ERS,Mo Bamba,Kelly Oubre Jr.,PS,None,1,1,0.0,16,23,7
1:27,lost ball turnover,1st,CELTICS,76ERS,Luke Kornet,None,PS,None,1,1,100.0,16,23,7
1:15,out of bounds bad pass turnover,1st,CELTICS,76ERS,Tobias Harris,None,PS,None,1,1,0.0,16,23,7
1:01,misses 25-foot step back jumpshot,1st,CELTICS,76ERS,Jayson Tatum,None,PS,None,1,1,100.0,16,23,7
57.1,defensive rebound,1st,CELTICS,76ERS,Danuel House Jr.,None,PS,None,1,1,0.0,16,23,7
48.1,makes 24-foot three point jumper,1st,CELTICS,76ERS,Patrick Beverley,Danuel House Jr.,PS,None,1,1,0.0,16,26,10
41.0,traveling,1st,CELTICS,76ERS,Jrue Holiday,None,PS,None,1,1,100.0,16,26,10
31.0,shooting foul,1st,CELTICS,76ERS,Jayson Tatum,None,PS,None,1,1,100.0,16,26,10
31.0,misses free throw 1 of 2,1st,CELTICS,76ERS,Kelly Oubre Jr.,None,PS,None,1,1,0.0,16,26,10
31.0,makes free throw 2 of 2,1st,CELTICS,76ERS,Kelly Oubre Jr.,None,PS,None,1,1,0.0,16,27,11
24.0,personal foul,1st,CELTICS,76ERS,Patrick Beverley,None,PS,None,1,1,0.0,16,27,11
18.1,misses driving floating jump shot,1st,CELTICS,76ERS,Luke Kornet,None,PS,None,1,1,100.0,16,27,11
16.0,defensive rebound,1st,CELTICS,76ERS,Mo Bamba,None,PS,None,1,1,0.0,16,27,11
3.1,makes 3-foot driving dunk,1st,CELTICS,76ERS,Kelly Oubre Jr.,None,PS,None,1,1,0.0,16,29,13
1.0,makes 36-foot three point shot,1st,CELTICS,76ERS,Payton Pritchard,None,PS,None,1,1,100.0,19,29,10
1.0,shooting foul,1st,CELTICS,76ERS,P.J. Tucker,None,PS,None,1,1,0.0,19,29,10
1.0,makes free throw 1 of 1,1st,CELTICS,76ERS,Payton Pritchard,None,PS,None,1,1,100.0,20,29,9
0.0,bad pass,1st,CELTICS,76ERS,P.J. Tucker,None,PS,None,1,1,0.0,19,29,10
11:46,blocks Mo Bamba 's 12-foot two point shot,2nd,CELTICS,76ERS,Al Horford,None,PS,None,1,1,100.0,20,29,9
11:43,defensive rebound,2nd,CELTICS,76ERS,Payton Pritchard,None,PS,None,1,1,100.0,20,29,9
11:39,shooting foul,2nd,CELTICS,76ERS,Danuel House Jr.,None,PS,None,1,1,0.0,20,29,9
11:39,makes free throw 1 of 2,2nd,CELTICS,76ERS,Jayson Tatum,None,PS,None,1,1,100.0,21,29,8
11:39,makes free throw 2 of 2,2nd,CELTICS,76ERS,Jayson Tatum,None,PS,None,1,1,100.0,22,29,7
11:26,personal foul,2nd,CELTICS,76ERS,Payton Pritchard,None,PS,None,1,1,100.0,22,29,7
11:11,makes driving layup,2nd,CELTICS,76ERS,Patrick Beverley,None,PS,None,1,1,0.0,22,31,9
10:56,makes driving layup,2nd,CELTICS,76ERS,Jayson Tatum,None,PS,None,1,1,100.0,24,31,7
10:56,shooting foul,2nd,CELTICS,76ERS,Danuel House Jr.,None,PS,None,1,1,0.0,24,31,7
10:56,misses free throw 1 of 1,2nd,CELTICS,76ERS,Jayson Tatum,None,PS,None,1,1,100.0,24,31,7
10:56,defensive rebound,2nd,CELTICS,76ERS,Mo Bamba,None,PS,None,1,1,0.0,24,31,7
10:32,misses 28-foot three point jumper,2nd,CELTICS,76ERS,Kelly Oubre Jr.,None,PS,None,1,1,0.0,24,31,7
10:28,defensive rebound,2nd,CELTICS,76ERS,Sam Hauser,None,PS,None,1,1,100.0,24,31,7
10:21,makes 29-foot three point jumper,2nd,CELTICS,76ERS,Payton Pritchard,Oshae Brissett,PS,None,1,1,100.0,27,31,4
10:07,makes layup,2nd,CELTICS,76ERS,Kelly Oubre Jr.,Patrick Beverley,PS,None,1,1,0.0,27,33,6
10:07,shooting foul,2nd,CELTICS,76ERS,Sam Hauser,None,PS,None,1,1,100.0,27,33,6
10:07,makes free throw 1 of 1,2nd,CELTICS,76ERS,Kelly Oubre Jr.,None,PS,None,1,1,0.0,27,34,7
9:56,makes 28-foot three point jumper,2nd,CELTICS,76ERS,Al Horford,Payton Pritchard,PS,None,1,1,100.0,30,34,4
9:33,misses 29-foot three point pullup jump shot,2nd,CELTICS,76ERS,Danny Green,None,PS,None,1,1,0.0,30,34,4
9:28,defensive rebound,2nd,CELTICS,76ERS,Jayson Tatum,None,PS,None,1,1,100.0,30,34,4
9:14,makes 27-foot three point jumper,2nd,CELTICS,76ERS,Payton Pritchard,Jayson Tatum,PS,None,1,1,100.0,33,34,1
9:05,makes 27-foot three point jumper,2nd,CELTICS,76ERS,Danny Green,P.J. Tucker,PS,None,1,1,0.0,33,37,4
8:46,blocks Jayson Tatum 's 4-foot layup,2nd,CELTICS,76ERS,P.J. Tucker,None,PS,None,1,1,0.0,33,37,4
8:43,offensive rebound,2nd,CELTICS,76ERS,Jayson Tatum,None,PS,None,1,1,100.0,33,37,4
8:42,makes two point shot,2nd,CELTICS,76ERS,Jayson Tatum,None,PS,None,1,1,100.0,35,37,2
8:28,misses 25-foot three point pullup jump shot,2nd,CELTICS,76ERS,Danny Green,None,PS,None,1,1,0.0,35,37,2
8:26,defensive rebound,2nd,CELTICS,76ERS,Al Horford,None,PS,None,1,1,100.0,35,37,2
8:21,makes two point shot,2nd,CELTICS,76ERS,Oshae Brissett,Payton Pritchard,PS,None,1,1,100.0,37,37,0
8:21,shooting foul,2nd,CELTICS,76ERS,Kelly Oubre Jr.,None,PS,None,1,1,0.0,37,37,0
8:21,misses free throw 1 of 1,2nd,CELTICS,76ERS,Oshae Brissett,None,PS,None,1,1,100.0,37,37,0
8:21,defensive rebound,2nd,CELTICS,76ERS,P.J. Tucker,None,PS,None,1,1,0.0,37,37,0
8:08,blocks P.J. Tucker 's 24-foot three point jumper,2nd,CELTICS,76ERS,Al Horford,None,PS,None,1,1,100.0,37,37,0
8:06,personal foul,2nd,CELTICS,76ERS,Jayson Tatum,None,PS,None,1,1,100.0,37,37,0
7:57,misses 17-foot pullup jump shot,2nd,CELTICS,76ERS,Tobias Harris,None,PS,None,1,1,0.0,37,37,0
7:55,defensive rebound,2nd,CELTICS,76ERS,Jayson Tatum,None,PS,None,1,1,100.0,37,37,0
7:50,blocks Jayson Tatum 's 8-foot two point shot,2nd,CELTICS,76ERS,Tobias Harris,None,PS,None,1,1,0.0,37,37,0
7:47,defensive rebound,2nd,CELTICS,76ERS,Paul Reed,None,PS,None,1,1,0.0,37,37,0
7:40,makes 10-foot driving floating jump shot,2nd,CELTICS,76ERS,Tyrese Maxey,P.J. Tucker,PS,None,1,1,0.0,37,39,2
7:22,misses 26-foot three point jumper,2nd,CELTICS,76ERS,Sam Hauser,None,PS,None,1,1,100.0,37,39,2
7:17,defensive rebound,2nd,CELTICS,76ERS,Tyrese Maxey,None,PS,None,1,1,0.0,37,39,2
7:10,makes driving layup,2nd,CELTICS,76ERS,Tobias Harris,Tyrese Maxey,PS,None,1,1,0.0,37,41,4
6:50,shooting foul,2nd,CELTICS,76ERS,Tobias Harris,None,PS,None,1,1,0.0,37,41,4
6:50,makes free throw 1 of 2,2nd,CELTICS,76ERS,Jayson Tatum,None,PS,None,1,1,100.0,38,41,3
6:50,makes free throw 2 of 2,2nd,CELTICS,76ERS,Jayson Tatum,None,PS,None,1,1,100.0,39,41,2
6:32,out of bounds bad pass turnover,2nd,CELTICS,76ERS,Danny Green,None,PS,None,1,1,0.0,39,41,2
6:19,makes 17-foot step back jumpshot,2nd,CELTICS,76ERS,Kristaps Porzingis,Jaylen Brown,PS,None,1,1,100.0,41,41,0
6:10,misses 26-foot three point pullup jump shot,2nd,CELTICS,76ERS,Tyrese Maxey,None,PS,None,1,1,0.0,41,41,0
6:06,defensive rebound,2nd,CELTICS,76ERS,Derrick White,None,PS,None,1,1,100.0,41,41,0
6:05,lost ball turnover,2nd,CELTICS,76ERS,Derrick White,None,PS,None,1,1,100.0,41,41,0
6:00,makes 27-foot three point jumper,2nd,CELTICS,76ERS,Jaden Springer,Paul Reed,PS,None,1,1,0.0,41,44,3
5:49,makes driving layup,2nd,CELTICS,76ERS,Derrick White,None,PS,None,1,1,100.0,43,44,1
5:40,makes driving layup,2nd,CELTICS,76ERS,Tyrese Maxey,None,PS,None,1,1,0.0,43,46,3
5:29,makes 26-foot step back jumpshot,2nd,CELTICS,76ERS,Jrue Holiday,None,PS,None,1,1,100.0,46,46,0
5:11,misses 14-foot two point shot,2nd,CELTICS,76ERS,Tobias Harris,None,PS,None,1,1,0.0,46,46,0
5:09,defensive rebound,2nd,CELTICS,76ERS,Jrue Holiday,None,PS,None,1,1,100.0,46,46,0
5:02,blocks Derrick White's driving layup,2nd,CELTICS,76ERS,Tyrese Maxey,None,PS,None,1,1,0.0,46,46,0
5:01,offensive rebound,2nd,CELTICS,76ERS,Derrick White,None,PS,None,1,1,100.0,46,46,0
5:00,makes two point shot,2nd,CELTICS,76ERS,Derrick White,None,PS,None,1,1,100.0,48,46,2
4:40,misses 26-foot step back jumpshot,2nd,CELTICS,76ERS,Danny Green,None,PS,None,1,1,0.0,48,46,2
4:35,offensive rebound,2nd,CELTICS,76ERS,Jaden Springer,None,PS,None,1,1,0.0,48,46,2
4:33,shooting foul,2nd,CELTICS,76ERS,Kristaps Porzingis,None,PS,None,1,1,100.0,48,46,2
4:33,makes free throw 1 of 2,2nd,CELTICS,76ERS,Paul Reed,None,PS,None,1,1,0.0,48,47,1
4:33,misses free throw 2 of 2,2nd,CELTICS,76ERS,Paul Reed,None,PS,None,1,1,0.0,48,47,1
4:31,offensive rebound,2nd,CELTICS,76ERS,Tyrese Maxey,None,PS,None,1,1,0.0,48,47,1
4:21,makes driving layup,2nd,CELTICS,76ERS,Jaden Springer,Danny Green,PS,None,1,1,0.0,48,49,1
4:06,shooting foul,2nd,CELTICS,76ERS,Tyrese Maxey,None,PS,None,1,1,0.0,48,49,1
4:06,makes free throw 1 of 2,2nd,CELTICS,76ERS,Jaylen Brown,None,PS,None,1,1,100.0,49,49,0
4:06,makes free throw 2 of 2,2nd,CELTICS,76ERS,Jaylen Brown,None,PS,None,1,1,100.0,50,49,1
3:57,makes driving layup,2nd,CELTICS,76ERS,Tyrese Maxey,None,PS,None,1,1,0.0,50,51,1
3:44,makes 14-foot two point shot,2nd,CELTICS,76ERS,Jaylen Brown,None,PS,None,1,1,100.0,52,51,1
3:27,lost ball turnover,2nd,CELTICS,76ERS,Tobias Harris,None,PS,None,1,1,0.0,52,51,1
3:22,lost ball turnover,2nd,CELTICS,76ERS,Jaylen Brown,None,PS,None,1,1,100.0,52,51,1
3:08,misses 7-foot two point shot,2nd,CELTICS,76ERS,Paul Reed,None,PS,None,1,1,0.0,52,51,1
3:06,defensive rebound,2nd,CELTICS,76ERS,Al Horford,None,PS,None,1,1,100.0,52,51,1
3:01,personal foul,2nd,CELTICS,76ERS,Tyrese Maxey,None,PS,None,1,1,0.0,52,51,1
3:01,makes free throw 1 of 2,2nd,CELTICS,76ERS,Kristaps Porzingis,None,PS,None,1,1,100.0,53,51,2
3:01,makes free throw 2 of 2,2nd,CELTICS,76ERS,Kristaps Porzingis,None,PS,None,1,1,100.0,54,51,3
2:45,misses 9-foot two point shot,2nd,CELTICS,76ERS,Paul Reed,None,PS,None,1,1,0.0,54,51,3
2:41,offensive rebound,2nd,CELTICS,76ERS,Danny Green,None,PS,None,1,1,0.0,54,51,3
2:40,misses tip shot,2nd,CELTICS,76ERS,Danny Green,None,PS,None,1,1,0.0,54,51,3
2:39,defensive rebound,2nd,CELTICS,76ERS,Jaylen Brown,None,PS,None,1,1,100.0,54,51,3
2:21,misses 24-foot three point jumper,2nd,CELTICS,76ERS,Jrue Holiday,None,PS,None,1,1,100.0,54,51,3
2:17,offensive rebound,2nd,CELTICS,76ERS,Jaylen Brown,None,PS,None,1,1,100.0,54,51,3
2:16,out of bounds bad pass turnover,2nd,CELTICS,76ERS,Jaylen Brown,None,PS,None,1,1,100.0,54,51,3
2:04,misses 29-foot three point jumper,2nd,CELTICS,76ERS,Kelly Oubre Jr.,None,PS,None,1,1,0.0,54,51,3
2:00,offensive rebound,2nd,CELTICS,76ERS,Jaden Springer,None,PS,None,1,1,0.0,54,51,3
1:56,personal foul,2nd,CELTICS,76ERS,Jrue Holiday,None,PS,None,1,1,100.0,54,51,3
1:56,makes free throw 1 of 2,2nd,CELTICS,76ERS,Jaden Springer,None,PS,None,1,1,0.0,54,52,2
1:56,makes free throw 2 of 2,2nd,CELTICS,76ERS,Jaden Springer,None,PS,None,1,1,0.0,54,53,1
1:43,personal foul,2nd,CELTICS,76ERS,Paul Reed,None,PS,None,1,1,0.0,54,53,1
1:43,makes free throw 1 of 2,2nd,CELTICS,76ERS,Kristaps Porzingis,None,PS,None,1,1,100.0,55,53,2
1:43,makes free throw 2 of 2,2nd,CELTICS,76ERS,Kristaps Porzingis,None,PS,None,1,1,100.0,56,53,3
1:31,misses driving floating jump shot,2nd,CELTICS,76ERS,Kelly Oubre Jr.,None,PS,None,1,1,0.0,56,53,3
1:27,offensive rebound,2nd,CELTICS,76ERS,Paul Reed,None,PS,None,1,1,0.0,56,53,3
1:27,makes tip shot,2nd,CELTICS,76ERS,Paul Reed,None,PS,None,1,1,0.0,56,55,1
1:22,personal foul,2nd,CELTICS,76ERS,Paul Reed,None,PS,None,1,1,0.0,56,55,1
1:22,misses free throw 1 of 2,2nd,CELTICS,76ERS,Derrick White,None,PS,None,1,1,100.0,56,55,1
1:22,makes free throw 2 of 2,2nd,CELTICS,76ERS,Derrick White,None,PS,None,1,1,100.0,57,55,2
1:08,shooting foul,2nd,CELTICS,76ERS,Kristaps Porzingis,None,PS,None,1,1,100.0,57,55,2
1:08,makes free throw 1 of 2,2nd,CELTICS,76ERS,Paul Reed,None,PS,None,1,1,0.0,57,56,1
1:08,makes free throw 2 of 2,2nd,CELTICS,76ERS,Paul Reed,None,PS,None,1,1,0.0,57,57,0
43.2,misses 15-foot two point shot,2nd,CELTICS,76ERS,Jrue Holiday,None,PS,None,1,1,100.0,57,57,0
41.1,defensive rebound,2nd,CELTICS,76ERS,Mo Bamba,None,PS,None,1,1,0.0,57,57,0
30.0,misses 28-foot three point jumper,2nd,CELTICS,76ERS,Tyrese Maxey,None,PS,None,1,1,0.0,57,57,0
11.1,shooting foul,2nd,CELTICS,76ERS,Jaden Springer,None,PS,None,1,1,0.0,57,57,0
11.1,makes free throw 1 of 2,2nd,CELTICS,76ERS,Jaylen Brown,None,PS,None,1,1,100.0,58,57,1
11.1,makes free throw 2 of 2,2nd,CELTICS,76ERS,Jaylen Brown,None,PS,None,1,1,100.0,59,57,2
2.1,misses 27-foot step back jumpshot,2nd,CELTICS,76ERS,Kelly Oubre Jr.,None,PS,None,1,1,0.0,59,57,2
2.1,defensive rebound,2nd,CELTICS,76ERS,Al Horford,None,PS,None,1,1,100.0,59,57,2
11:45,makes 14-foot step back jumpshot,3rd,CELTICS,76ERS,Tobias Harris,Tyrese Maxey,PS,None,1,1,0.0,59,59,0
11:26,misses alley oop layup,3rd,CELTICS,76ERS,Kristaps Porzingis,None,PS,None,1,1,100.0,59,59,0
11:25,defensive rebound,3rd,CELTICS,76ERS,Tobias Harris,None,PS,None,1,1,0.0,59,59,0
11:22,misses layup,3rd,CELTICS,76ERS,Tobias Harris,None,PS,None,1,1,0.0,59,59,0
11:15,makes 27-foot three point jumper,3rd,CELTICS,76ERS,Kristaps Porzingis,Al Horford,PS,None,1,1,100.0,62,59,3
10:48,makes 27-foot step back jumpshot,3rd,CELTICS,76ERS,Tyrese Maxey,None,PS,None,1,1,0.0,62,62,0
10:35,misses two point shot,3rd,CELTICS,76ERS,Jayson Tatum,None,PS,None,1,1,100.0,62,62,0
10:34,defensive rebound,3rd,CELTICS,76ERS,Tobias Harris,None,PS,None,1,1,0.0,62,62,0
10:28,makes 25-foot three pointer,3rd,CELTICS,76ERS,Patrick Beverley,None,PS,None,1,1,0.0,62,65,3
10:11,lost ball turnover,3rd,CELTICS,76ERS,Kristaps Porzingis,None,PS,None,1,1,100.0,62,65,3
10:09,blocks Jaden Springer 's 2-foot driving layup,3rd,CELTICS,76ERS,Jaylen Brown,None,PS,None,1,1,100.0,62,65,3
10:08,offensive rebound,3rd,CELTICS,76ERS,Jaden Springer,None,PS,None,1,1,0.0,62,65,3
10:01,misses 27-foot three point jumper,3rd,CELTICS,76ERS,Tyrese Maxey,None,PS,None,1,1,0.0,62,65,3
9:58,defensive rebound,3rd,CELTICS,76ERS,Derrick White,None,PS,None,1,1,100.0,62,65,3
9:46,misses 15-foot pullup jump shot,3rd,CELTICS,76ERS,Jayson Tatum,None,PS,None,1,1,100.0,62,65,3
9:44,offensive foul,3rd,CELTICS,76ERS,Derrick White,None,PS,None,1,1,100.0,62,65,3
9:44,turnover,3rd,CELTICS,76ERS,Derrick White,None,PS,None,1,1,100.0,62,65,3
9:31,misses driving layup,3rd,CELTICS,76ERS,Patrick Beverley,None,PS,None,1,1,0.0,62,65,3
9:29,offensive rebound,3rd,CELTICS,76ERS,Patrick Beverley,None,PS,None,1,1,0.0,62,65,3
9:27,misses 26-foot three point pullup jump shot,3rd,CELTICS,76ERS,Patrick Beverley,None,PS,None,1,1,0.0,62,65,3
